"Pop" "N" "MLG" "eMLG" "SE" "H" "G" "lambda" "E.5" "Hexp" "Ia" "rbarD" "File"
"1" "CH" 9 9 9 0 2.19722457733622 9 0.888888888888889 1 0.610958306399483 0.996533795493934 0.11738022048415 "Eptpop"
"2" "FR" 19 19 10 2.51118832027208e-07 2.94443897916644 19 0.947368421052632 1 0.625022376725163 -0.0900239664469723 -0.0101562303557812 "Eptpop"
"3" "GG" 15 15 10 2.77177620496426e-07 2.70805020110221 15 0.933333333333333 1 0.593335772536055 0.661764138197259 0.0897728295517308 "Eptpop"
"4" "IT" 12 12 10 0 2.484906649788 12 0.916666666666667 1 0.623188405797101 0.221963910107382 0.0254802659507334 "Eptpop"
"5" "PL1" 20 20 10 0 2.99573227355399 20 0.95 1 0.598394967478159 0.108190572164372 0.012119234127795 "Eptpop"
"6" "PL2" 15 15 10 2.77177620496426e-07 2.70805020110221 15 0.933333333333333 1 0.633050538222952 0.180692253355307 0.0206480274896015 "Eptpop"
"7" "PL3" 12 12 10 0 2.484906649788 12 0.916666666666667 1 0.658175840178128 0.0403365956279165 0.00463716884683277 "Eptpop"
"8" "SL" 4 4 4 0 1.38629436111989 4 0.75 1 0.614285714285714 -0.0217391304347825 -0.00304598026941024 "Eptpop"
"9" "UK01" 57 57 9.99999999999993 0 4.04305126783455 57 0.982456140350877 1 0.5905936914719 0.201573465647489 0.0237347611210404 "Eptpop"
"10" "UK02" 14 14 10 0 2.63905732961526 14 0.928571428571429 1 0.614021164021164 0.330315554680835 0.0378623706732987 "Eptpop"
"11" "UK03" 5 5 5 0 1.6094379124341 5 0.8 1 0.597777777777778 1.3558052434457 0.174485276337867 "Eptpop"
"12" "UK04" 68 68 9.99999999999982 0 4.21950770517611 68 0.985294117647059 1 0.610409017580987 0.194309148965306 0.0221436499716439 "Eptpop"
"13" "UK05" 8 8 8 0 2.07944154167984 8 0.875 1 0.629318181818182 0.753689734339128 0.0913036035771702 "Eptpop"
"14" "UK06" 16 16 9.99999999999997 0 2.77258872223978 16 0.9375 1 0.589384920634921 -0.0512342967583234 -0.00586574156504141 "Eptpop"
"15" "UK07" 22 22 9.99999999999999 0 3.09104245335832 22 0.954545454545455 1 0.588234326145184 1.08708230733941 0.139496717787402 "Eptpop"
"16" "UK08" 23 23 10 5.03121108297531e-07 3.13549421592915 23 0.956521739130435 1 0.595724128258839 0.0791957071485856 0.00892211290975172 "Eptpop"
"17" "UK09" 11 11 10 0 2.39789527279837 11 0.909090909090909 1 0.505627705627706 -0.0711250692776642 -0.00970984183275213 "Eptpop"
"18" "UK10" 11 11 10 0 2.39789527279837 11 0.909090909090909 1 0.545021645021645 0.421350182906552 0.047933580427074 "Eptpop"
"19" "UK11" 7 7 7 0 1.94591014905531 7 0.857142857142857 1 0.561538461538462 0.741405082212254 0.0946038167572062 "Eptpop"
"20" "UK12" 26 26 10 1.08809091231398e-06 3.25809653802148 26 0.961538461538462 0.999999999999999 0.571257460103518 0.122791583486001 0.014043590204009 "Eptpop"
"21" "UK13" 8 8 8 0 2.07944154167984 8 0.875 1 0.623168498168498 -0.167785234899328 -0.0213288166371784 "Eptpop"
"22" "UK14" 14 14 10 0 2.63905732961526 14 0.928571428571429 1 0.586772486772487 0.140803095262992 0.016146047532733 "Eptpop"
"23" "UK15" 39 39 9.9999999999999 0 3.66356164612965 39 0.974358974358974 1 0.595776714513557 0.50232946500962 0.0563493120233516 "Eptpop"
"24" "UK16" 48 48 10.0000000000001 2.87217707709235e-06 3.87120101090789 48 0.979166666666667 1 0.623737285098447 0.16566834549974 0.0185753206627449 "Eptpop"
"25" "UK17" 21 21 9.99999999999999 0 3.04452243772342 21 0.952380952380952 1 0.639302639015695 0.0510343192460456 0.00575828771477968 "Eptpop"
"26" "UK18" 6 6 6 0 1.79175946922805 6 0.833333333333333 1 0.598484848484848 -0.0927536231884055 -0.0107691998355277 "Eptpop"
"27" "UK19" 42 42 9.99999999999997 0 3.73766961828337 42 0.976190476190476 1 0.650131691571545 0.119452943633379 0.0134507701607355 "Eptpop"
"28" "UK20" 25 25 9.99999999999997 0 3.2188758248682 25 0.96 1 0.606523302938197 -0.0438379018474342 -0.00504263049431405 "Eptpop"
"29" "UK21" 10 10 10 0 2.30258509299405 10 0.9 1 0.6 0.157018022938285 0.0182621080012851 "Eptpop"
"30" "UK22" 24 24 10 4.38002897998663e-07 3.17805383034795 24 0.958333333333333 1 0.594214112733833 0.0588787720296942 0.00691140638203978 "Eptpop"
"31" "UK23" 30 30 9.99999999999991 0 3.40119738166216 30 0.966666666666667 1 0.631924902847417 -0.079682138052226 -0.00904777026961712 "Eptpop"
"32" "UK24" 15 15 10 2.77177620496426e-07 2.70805020110221 15 0.933333333333333 1 0.597701149425287 0.0867575687543343 0.00981473346951054 "Eptpop"
"33" "UK25" 13 13 10 7.30004829997771e-08 2.56494935746154 13 0.923076923076923 1 0.544 0.0919240249383773 0.0117360026167191 "Eptpop"
"34" "UK26" 7 7 7 0 1.94591014905531 7 0.857142857142857 1 0.562637362637363 -0.180602006688962 -0.0229409360612438 "Eptpop"
"35" "UK27" 11 11 10 0 2.39789527279837 11 0.909090909090909 1 0.523376623376623 -0.0664238268695116 -0.00874406181810776 "Eptpop"
"36" "UK28" 12 12 10 0 2.484906649788 12 0.916666666666667 1 0.531796338672769 0.0121070673182126 0.00156094283021886 "Eptpop"
"37" "Total" 699 699 10.0000000000023 2.69600841770221e-05 6.54965074223381 699 0.998569384835479 1 0.632045306701967 0.182826038441444 0.0206222456674285 "Eptpop"
