"allele" "1-D" "Hexp" "Evenness"
"Paur05" 11 0.830810021760028 0.83141162206543 0.820509755746587
"Mu4389" 4 0.506016251746804 0.506380554303857 0.740347181741759
"EF1" 3 0.197068570515211 0.197212521260657 0.556448049820955
"EF4" 6 0.666965415101415 0.667451187435794 0.796163934945748
"EF6" 16 0.862849191346356 0.863474897794033 0.795121569996335
"EF14" 12 0.786281649034693 0.786844484860774 0.791406463302271
"EF15" 18 0.794012790659268 0.794583612219771 0.776047259112678
"D15" 9 0.689430160400639 0.689949700838017 0.811227545108774
"B22" 2 0.269557150351304 0.269754917886411 0.666571563640981
"TT20" 6 0.71283396900263 0.713389568354931 0.83058368631804
"mean" 8.7 0.631582516991835 0.632045306701967 0.758442700973413
