"CH.chi.2" "CH.df" "CH.Pr.chi.2..." "FR.chi.2" "FR.df" "FR.Pr.chi.2..." "GG.chi.2" "GG.df" "GG.Pr.chi.2..." "IT.chi.2" "IT.df" "IT.Pr.chi.2..." "PL1.chi.2" "PL1.df" "PL1.Pr.chi.2..." "PL2.chi.2" "PL2.df" "PL2.Pr.chi.2..." "PL3.chi.2" "PL3.df" "PL3.Pr.chi.2..." "SL.chi.2" "SL.df" "SL.Pr.chi.2..." "UK01.chi.2" "UK01.df" "UK01.Pr.chi.2..." "UK02.chi.2" "UK02.df" "UK02.Pr.chi.2..." "UK03.chi.2" "UK03.df" "UK03.Pr.chi.2..." "UK04.chi.2" "UK04.df" "UK04.Pr.chi.2..." "UK05.chi.2" "UK05.df" "UK05.Pr.chi.2..." "UK06.chi.2" "UK06.df" "UK06.Pr.chi.2..." "UK07.chi.2" "UK07.df" "UK07.Pr.chi.2..." "UK08.chi.2" "UK08.df" "UK08.Pr.chi.2..." "UK09.chi.2" "UK09.df" "UK09.Pr.chi.2..." "UK10.chi.2" "UK10.df" "UK10.Pr.chi.2..." "UK11.chi.2" "UK11.df" "UK11.Pr.chi.2..." "UK12.chi.2" "UK12.df" "UK12.Pr.chi.2..." "UK13.chi.2" "UK13.df" "UK13.Pr.chi.2..." "UK14.chi.2" "UK14.df" "UK14.Pr.chi.2..." "UK15.chi.2" "UK15.df" "UK15.Pr.chi.2..." "UK16.chi.2" "UK16.df" "UK16.Pr.chi.2..." "UK17.chi.2" "UK17.df" "UK17.Pr.chi.2..." "UK18.chi.2" "UK18.df" "UK18.Pr.chi.2..." "UK19.chi.2" "UK19.df" "UK19.Pr.chi.2..." "UK20.chi.2" "UK20.df" "UK20.Pr.chi.2..." "UK21.chi.2" "UK21.df" "UK21.Pr.chi.2..." "UK22.chi.2" "UK22.df" "UK22.Pr.chi.2..." "UK23.chi.2" "UK23.df" "UK23.Pr.chi.2..." "UK24.chi.2" "UK24.df" "UK24.Pr.chi.2..." "UK25.chi.2" "UK25.df" "UK25.Pr.chi.2..." "UK26.chi.2" "UK26.df" "UK26.Pr.chi.2..." "UK27.chi.2" "UK27.df" "UK27.Pr.chi.2..." "UK28.chi.2" "UK28.df" "UK28.Pr.chi.2..."
"Paur05" 6.44777777777778 10 0.776345500901135 26.8209126984127 21 0.176859890022049 30.7666666666667 28 0.327538626809502 22.68 28 0.74888268814966 22.8130511463845 28 0.742338397338071 24.0873015873016 28 0.676919141778849 28.3433333333333 36 0.81474118916487 8 3 0.0460117056892314 67.4174169326624 28 4.23707422397834e-05 15.0909090909091 28 0.977460115901673 6.80555555555555 6 0.339204368245129 45.084593824493 28 0.0216308889836182 9.06666666666667 15 0.87400591453908 15.7028270874425 21 0.786108778121366 10.6392857142857 15 0.777720591312573 11.9472222222222 21 0.941031673455654 3.59183673469388 21 0.9999922883787 2.50555555555556 6 0.867845392887234 10.7857142857143 15 0.767631522120488 14.4240740212477 21 0.850703704504108 16 15 0.382051661502864 22.5297619047619 21 0.369553097517755 39.8078353392639 28 0.0687771440668892 19.6801709113397 28 0.875841936263424 15.9833333333333 21 0.770586821538916 8.83333333333333 6 0.183170527119844 25.9867724867725 28 0.573771676113829 22.1497988543443 28 0.774309159664789 1.11111111111111 6 0.981047515705364 31.1374149659864 28 0.311012481281421 16.7102214342227 21 0.728515421926099 16.8518518518519 21 0.720046717553899 18.8427180899908 15 0.220949825245232 2.04166666666667 6 0.915826886560923 10.8066893424036 15 0.766173577499064 14.52 15 0.486511942450465
"Mu4389" 0.0355555555555556 1 0.850436268312347 0.66796875 1 0.413760690804413 0.0178359096313912 1 0.893757514780573 1.87190170185721 1 0.171257434085255 0.294145129435749 1 0.587576396813677 1.74319727891156 3 0.627373137202099 1.92 1 0.16585666034291 0.444444444444444 3 0.930915749123649 3.892625 3 0.273294558610725 2.19801614763553 3 0.53233923396571 0.0617283950617284 1 0.803784706253101 1.74910993384785 3 0.626071286115504 3.2 3 0.361805027497532 1.72818634357096 3 0.630685614768975 4.52342209072978 3 0.210210581011094 3.87252613076789 3 0.275562082347334 6.87337868480726 1 0.00874890907004056 11 1 0.000911118877153672 0.520661157024794 3 0.91432935610112 3.84615384615385 1 0.049860203756907 9.38888888888889 3 0.0245432529573242 18.320987654321 3 0.000377637622390736 2.94162091286726 3 0.400713940436717 1.38827491237655 3 0.708285444129273 0.854933333333333 3 0.836287504824507 1.85185185185185 1 0.173568166555922 1.42592592592593 3 0.699468961253881 1.19792367172329 3 0.753502343925216 5.55555555555556 3 0.135353282769049 20.0277730927082 3 0.0001675076136749 22.1894306243207 3 5.95707459121186e-05 2.25011574074074 3 0.522144704203161 0 0 1 0 0 1 0 0 1 0.0226843100189036 1 0.880280916166764
"EF1" 0.163265306122449 1 0.686167849855239 0.968782518210198 1 0.32498400312066 2.03460207612457 1 0.153754418843636 0.48 1 0.488422316622594 0.515450361604208 1 0.472788907323068 0.6 1 0.438578026081 0.888888888888889 1 0.34577858615116 0.0816326530612245 1 0.775096962195985 0.0181760204081633 1 0.892755400586943 0.01920438957476 1 0.889782124970171 0 0 1 1.89881732849885 1 0.168210757353305 0.163265306122449 1 0.686167849855239 0.0711111111111111 1 0.78972582092805 0 0 1 2.4567995240928 1 0.1170169941694 0 0 1 0.11 1 0.740144135804575 0 0 1 10.8589013836827 1 0.000983220060772116 0.42603550295858 1 0.513940706238362 0.2016 1 0.653432459959598 0.872359963269054 3 0.8320923365657 0.000582743507873104 1 0.980740872660134 1.16262975778547 1 0.280920818761795 0.24 1 0.624206114766406 0.724211815120906 1 0.394765822979921 0.662520281233099 1 0.415671596774975 0.0277008310249308 1 0.867814107693651 0.0453686200378072 1 0.831327658379357 0.0746166771686621 1 0.784729816193581 0.185185185185185 1 0.666954528692819 13.1074380165289 3 0.00440993231829334 0.0414201183431953 1 0.838729137404802 0.0249433106575964 1 0.874508401253085 0 0 1
"EF4" 5.52 6 0.479042736360449 8.27689594356261 6 0.218510977545245 6.48555555555556 10 0.772954123230973 16.1795918367347 6 0.0128218071136914 2.13969756738987 3 0.543923515324903 8.48915289256198 6 0.204410777293844 5.63888888888889 6 0.464831530708992 4.44444444444444 3 0.217299570178463 4.71588140526036 6 0.580734947025542 1.84642857142857 6 0.933266695480973 6.11111111111111 6 0.410859243971142 8.08430126378844 6 0.231992030463281 10.8888888888889 6 0.0918717591867535 6.27479338842975 6 0.393122064643269 10.9316666666667 6 0.0905114554205581 0.7355109739369 3 0.864821305142342 2.89454545454545 3 0.408171585694856 7.19268077601411 6 0.3033953342928 2.45777777777778 3 0.482969930901871 1.6053399236906 6 0.952192734396501 0.816326530612245 3 0.845558089131098 14.7936507936508 3 0.00200175521666934 5.2907029478458 10 0.870932160497268 8.56519967274672 10 0.573803289140731 5.6065564738292 10 0.847165150520605 3.95918367346939 6 0.682200112594796 6.5567587113741 10 0.766521650502561 3.88427409531306 6 0.692333781273787 7.70408163265306 6 0.260594470184335 9.29065469509914 3 0.0256659666354697 4.1328231292517 6 0.658707257501371 2.22559400826446 6 0.897825708611308 5.78249433106576 6 0.447991111877059 4.16571428571429 6 0.654261991408518 2.4070987654321 6 0.878716471093464 7.11111111111111 6 0.310693903594924
"EF6" 27.1022222222222 15 0.0279144336588447 59.6099269337365 55 0.311708178099941 46.2222222222222 45 0.421571525179706 30.585306122449 28 0.335799252708487 63.4652777777778 66 0.565627821596806 35.75 36 0.480386439773538 33.6666666666667 36 0.580065958954571 24 21 0.293058531258575 60.6387944066516 45 0.0596979632929038 16.1912049790838 21 0.758813543402637 22.5 21 0.37120477938659 34.3960549019608 55 0.986696468132363 17.7777777777778 21 0.663020398167272 50.0864197530864 45 0.27863540293097 23.625 21 0.311580698934967 49.1688888888889 36 0.0705680361368509 11.2682828282828 10 0.337001927877472 17.6 10 0.0620977662177471 23.3333333333333 28 0.716183159739605 49.0471428571429 21 0.000494273017503377 22.6394557823129 15 0.0921006755722948 35.5833333333333 21 0.0243406767853938 39.984793289865 36 0.297606233861196 36.2346182917612 36 0.457704859891021 34.5492724085032 28 0.183370335147378 18.96 21 0.587706148078807 33.1529218106996 45 0.904402461877093 40.9818339100346 36 0.261140400179948 18.0444444444444 21 0.646189941063113 25.9574025974026 28 0.575386122983307 29.9877871370155 28 0.36380189623185 47.7471074380165 21 0.000744295907232906 5.32116620752984 10 0.868717575476634 27.0277777777778 21 0.169935621647969 38.2555555555556 28 0.0936606992114785 14.4666666666667 21 0.848732042236129
"EF14" 19.0625 15 0.210915650404497 36.5136054421769 28 0.129980165501622 37.96875 36 0.379711093894095 27.75 28 0.477753216802614 7.09348025711662 15 0.955003605490404 44.3333333333333 28 0.0257440201094411 19.3333333333333 15 0.19902426276918 8 6 0.238103305553544 10.4658662137897 10 0.40061430688847 15.7028571428571 15 0.402070080667668 5.55555555555555 6 0.474767655650358 14.112646368212 15 0.517003496295309 2.8 6 0.83349773812263 5.20221453287197 10 0.877266850543579 8.99865961199295 15 0.877587525972073 15.8278351113173 15 0.393585275692801 9.21555555555556 6 0.1618133642184 5.67111111111111 10 0.842096877298283 6.22222222222222 10 0.796260264694166 7.39958376690947 15 0.945598800175868 13 15 0.602297939222804 7.94285714285714 10 0.634418653638549 15.56054024593 15 0.411843610200484 10.2729422897109 15 0.80222887492066 31.687139561707 15 0.00709965501467824 1.5 3 0.682270330336213 18.7937249324314 15 0.223233918105752 10.2962962962963 21 0.974802606777289 7 10 0.725444953309605 8.20528162511542 10 0.608793014328823 4.52489980557123 10 0.920577843700336 5.29988465974625 6 0.505965306093384 10.6925 15 0.77407237278121 10.8888888888889 10 0.366239916863771 3.71555555555556 6 0.715104594126233 8.59102040816326 10 0.571306049214567
"EF15" 24.72 15 0.0538324784131924 17.4094860166289 36 0.996178740420001 43.8095238095238 36 0.173997896046025 27.1460055096419 28 0.510307270225544 14.6584646930668 21 0.839691025582367 23.2291666666667 21 0.331882456425691 11.04 15 0.749753714581354 7.11111111111111 6 0.310693903594925 14.7405140495868 15 0.470264976866226 9.14285714285714 10 0.518601793117404 10 10 0.440493285065212 15.8482021818679 36 0.99856020090543 3.61111111111111 6 0.729132941406146 1.61851239669421 3 0.655199580751858 12.1977777777778 10 0.272038063139614 14.9310783136784 15 0.456393102048487 17.2273469387755 15 0.305456276614663 17.6030555555556 10 0.0620402477586806 19.67 15 0.184960633917426 9.04033123354923 15 0.875399221892611 16 15 0.382051661502864 22.61875 15 0.0925768044794785 28.7280341880342 28 0.426417616638669 16.0944791139596 21 0.7643193706198 14.4496767477537 21 0.849520111942422 12.6666666666667 15 0.628027084513878 36.9530518518519 28 0.119899497596529 21.8728846910665 15 0.111180593764157 22.8 21 0.354734041348729 17.9991124260355 15 0.262712226018092 18.1457300275482 15 0.255081637127992 11.1574074074074 10 0.345386800364825 9.99173553719008 10 0.441218656209608 7.49777777777778 10 0.677762939511587 9.625 10 0.473985771941284 15.5833333333333 15 0.410270463634508
"D15" 4.16 3 0.244697280581039 75.2809775762157 36 0.000136210805508852 4.70556213017751 1 0.0300651682340608 9.59023668639053 3 0.0223905189341268 1.58428720083247 6 0.953700372204913 1.38941398865784 6 0.966499214008096 6.29251700680272 3 0.0982142494928415 4 1 0.0455002638963584 34.7909732028802 10 0.000135545319317698 7.33596318211703 3 0.0619264932443386 0.625 3 0.890686097193726 84.675672113051 15 9.65694191279454e-12 8.66666666666667 6 0.193210450849408 19.5192743764172 6 0.0033708849982107 6.81225198412698 6 0.338559690047962 2.94988677039959 6 0.815109797941263 0.7975 3 0.850064906561763 8.44555555555556 6 0.207243305629588 2.2575 3 0.5207116346598 6.51606673241289 6 0.367924167621182 9.88888888888889 6 0.12940981008191 11.320987654321 6 0.0789482793174713 18.0850387328015 6 0.0060231563224038 11.2631630136676 6 0.0805757113096848 2.00714285714286 6 0.919040503667905 5 6 0.54381311588333 30.8141234567901 6 2.7506800414967e-05 10.8433180287726 6 0.0933412728995305 11.1111111111111 6 0.0850025156592725 35.8674337817271 10 8.87073664913585e-05 5.92660619803477 6 0.431461795225948 15.8804733727811 6 0.0144100979406875 4.47743165924984 3 0.214312187291985 1.9047619047619 3 0.592407033425683 7.7317620650954 3 0.0518931911198561 1.56666666666667 3 0.666971320696523
"B22" 1.74222222222222 1 0.18685750266304 0.294145129435749 1 0.587576396813677 0 0 1 0.48 1 0.488422316622594 0.00204060810121418 1 0.963969343054186 6.66666666666667 1 0.0098232745075193 0.75 1 0.386476230771233 0 1 1 0.694441492188331 1 0.404657760660354 0.0622222222222223 1 0.803017488188062 0.3125 1 0.576150122030579 0.0614764424288234 1 0.804177399584261 0.0495867768595041 1 0.823783878853929 2.93877551020408 1 0.0864762654936657 0.232686980609418 1 0.629538590846681 0.5175 1 0.471910063445547 0.0249433106575964 1 0.874508401253085 0.274238227146814 1 0.600502799132456 0.194444444444445 1 0.659243003692631 0.101856043458579 1 0.749613576677174 0 0 1 0.321395775941231 1 0.570770039717521 3.6304132231405 1 0.0567327288028417 0.0354092363968907 1 0.850740707198236 0.0525000000000001 1 0.818768821520624 0.0495867768595041 1 0.823783878853929 2.89383827132992 1 0.0889188548801931 0.0434027777777778 1 0.834968706358955 0.625 1 0.429195300440349 9.96740740740741 1 0.0015933569898865 0.37037037037037 1 0.542802453757373 5.94650205761317 1 0.0147465196869702 0.22117202268431 1 0.638148343332325 0.194444444444445 1 0.659243003692631 0.0249433106575964 1 0.874508401253085 1.33333333333333 1 0.248213078989924
"TT20" 10.3055555555556 6 0.112360244860709 5.23956898530762 6 0.513474200284215 31.1111111111111 10 0.000562439530247594 19.4840816326531 10 0.0345278361145963 10.648 10 0.385591235354964 18.0714285714286 10 0.0537706302240739 10.1515151515152 6 0.118414698116466 8 3 0.0460117056892314 8.84615438973373 10 0.54676379762311 8.83168967784352 6 0.183267333444923 1.66666666666667 3 0.644369805637025 5.71069657615112 10 0.838955405839042 13.3066666666667 6 0.0384164516381351 5.50285714285714 6 0.481111447398943 12.8945790080738 10 0.229625910480046 10.6349862258953 15 0.778014420461541 7.87654320987654 6 0.247288351772891 8.84888888888889 10 0.546502227469334 0.808888888888889 3 0.847339768382665 2.91555555555556 10 0.983341997051628 0.405714285714286 3 0.93905954388664 1.47347844463229 3 0.688404878728939 9.97630113378685 6 0.125653584436375 2.0687612553 6 0.913267185170251 5.90411786016181 3 0.116369432815694 4 3 0.261464129949111 12.8439356575964 3 0.00498655131817849 16.5922391510654 10 0.0838878331502182 4.15555555555556 6 0.655634667447555 18.92 10 0.0412906484492451 6.81405166981727 6 0.338386582624059 8.2125 6 0.222944790596773 1.15194444444444 6 0.979191769842447 6.56444444444444 6 0.363009253379378 2.64 6 0.852482175633422 3.66942148760331 3 0.299444297726554
